William Peace University,Raleigh,27604,www.peace.edu,25850
University of North Carolina at Pembroke,Pembroke,28372,www.uncp.edu,5564
Pfeiffer University,Misenheimer,28109,www.pfeiffer.edu,27125
Piedmont International University,Winston-Salem,27101,www.piedmontu.edu,9580
Piedmont Community College,Roxboro,27573,www.piedmontcc.edu,2419
Pitt Community College,Winterville,28590,www.pittcc.edu,2317
Queens University of Charlotte,Charlotte,28274,www.queens.edu,32560
Randolph Community College,Asheboro,27205,www.randolph.edu,1912
Richmond Community College,Hamlet,28345,www.richmondcc.edu,2446
Mid-Atlantic Christian University,Elizabeth City,27909,www.macuniversity.edu,13440
Roanoke-Chowan Community College,Ahoskie,27910,www.roanokechowan.edu,2478
Robeson Community College,Lumberton,28360,www.robeson.edu,2401
Rockingham Community College,Wentworth,27375,www.rockinghamcc.edu,1844
Rowan-Cabarrus Community College,Salisbury,28146,www.rccc.edu/,2506
Saint Augustine's University,Raleigh,27610,www.st-aug.edu,17890
Salem College,Winston-Salem,27101,www.salem.edu/,26236
Sampson Community College,Clinton,28328,www.sampsoncc.edu,2381
Sandhills Community College,Pinehurst,28374,www.sandhills.edu,2401
Shaw University,Raleigh,27601,www.shawu.edu,16580
Sherrill's University of Barber & Cosmetology,Raleigh,27610,www.sbcuniv.edu,5574
Paul Mitchell the School-Fayetteville,Fayetteville,28303,paulmitchell.edu/fayetteville,3356
St Andrews University,Laurinburg,28352,www.sa.edu,24390
Empire Beauty School-Matthews,Matthews,28105,www.empire.edu,4436
Southeastern Community College,Whiteville,28472,www.sccnc.edu,2457
Southwestern Community College,Sylva,28779,www.southwesterncc.edu,2100
Stanly Community College,Albemarle,28001,www.stanly.edu,2523
Southeastern Baptist Theological Seminary,Wake Forest,27587,www.sebts.edu,8124
Surry Community College,Dobson,27017,www.surry.edu,2476
Alamance Community College,Graham,27253,www.alamancecc.edu,2190
Tri-County Community College,Murphy,28906,www.tricountycc.edu,2363
Vance-Granville Community College,Henderson,27537,www.vgcc.edu,1891
Wake Forest University,Winston-Salem,27106,www.wfu.edu,47682
Wake Technical Community College,Raleigh,27603,www.waketech.edu/,2768
Warren Wilson College,Swannanoa,28778,www.warren-wilson.edu/,32560
Watts School of Nursing,Durham,27705,www.wattsschoolofnursing.org,4567
Wayne Community College,Goldsboro,27534,www.waynecc.edu,2396
Western Piedmont Community College,Morganton,28655,www.wpcc.edu,2513
Wilkes Community College,Wilkesboro,28697,www.wilkescc.edu,2508
Wilson Community College,Wilson,27893,www.wilsoncc.edu,2393
Wingate University,Wingate,28174,https://www.wingate.edu,27930
Carolina Christian College,Winston Salem,27105,www.carolina.edu,4025
Winston Salem Barber School,Winston-Salem,27127,www.wsbarberschool.com,3456
Winston-Salem State University,Winston-Salem,27110,www.wssu.edu,5707
Western Carolina University,Cullowhee,28723,www.wcu.edu,6623
